AF.01.1109,Shighnan District__Shighnan District
AF.08.609,Gelan__Gēlān
AF.01.1114,Arghanj Khwah__Arghanj Khwāh
AF.01.1115,Argo__Argō
AF.01.1108,Baharak__Bahārak
AF.01.1116,Darayim__Darāyim
AF.01.1117,Darwaz-e Bala__Darwāz-e Bālā
AF.01.1110,Darwaz-e Pa'in__Darwāz-e Pā’īn
AF.01.1101,Faizabad__Faīẕābād
AF.01.1107,Ishkashim__Ishkāshim
AF.01.1103,Jurm__Jurm
AF.01.1118,Khash__Khāsh
AF.01.1111,Khwahan__Khwāhān
AF.01.1102,Kishim__Kishim
AF.01.1119,Kohistan__Kōhistān
AF.01.1120,Kuf Ab__Kūf Āb
AF.01.1112,Raghistan__Rāghistān
AF.01.1113,Shahr-e Buzurg__Shahr-e Buzurg
AF.01.1121,Shiki__Shikī
AF.01.1122,Shuhada__Shuhadā
AF.01.1123,Tagab__Tagāb
AF.01.1124,Tashkan__Tashkān
AF.01.1106,Wakhan__Wākhān
AF.01.1125,Warduj__Wardūj
AF.01.1126,Yaftal-e Sufla__Yaftal-e Suflá
AF.01.1127,Yamgan__Yamgān
AF.01.1128,Yawan__Yāwān
AF.01.1105,Zaybak__Zaybāk
AF.02.1902,Ab-e Kamari__Āb-e Kamarī
AF.02.1905,Ghormach__Ghōrmāch
AF.02.1904,Jowand__Jowand
AF.02.1907,Muqur__Muqur
AF.02.1906,Murghab__Murghāb
AF.02.1903,Qadis__Qādis
AF.02.1901,Qal'ah-ye Now__Qal‘ah-ye Now
AF.03.1307,Andarab__Andarāb
AF.03.1311,Baghlan-e Jadid__Baghlān-e Jadīd
AF.03.1310,Burkah__Būrkah
AF.03.1303,Dahanah-ye Ghori__Dahanah-ye Ghōrī
AF.03.1312,Deh-e Salah__Deh-e Şalāḩ
AF.03.1304,Doshi__Dōshī
AF.03.1313,Firing wa Gharu__Firing wa Ghārū
AF.03.1314,Guzargah-e Nur__Guz̄argāh-e Nūr
AF.03.1306,Khinjan__Khinjān
AF.03.1308,Khost wa Firing__Khōst wa Firing
AF.03.1315,Khwajah Hijran__Khwājah Hijrān
AF.03.1309,Nahrin__Nahrīn
AF.03.1302,Pul-e Hisar__Pul-e Ḩişār
AF.03.1305,Talah wa Barfak__Tālah wa Barfak
AF.05.2803,Kahmard__Kahmard
AF.05.2805,Panjab__Panjāb
AF.05.2807,Sayghan__Sayghān
AF.05.2806,Waras__Waras̄
AF.05.2804,Yakawlang__Yakāwlang
AF.06.2107,Anar Darah__Anār Darah
AF.06.2102,Bakwah__Bakwāh
AF.06.2105,Bala Buluk__Bālā Bulūk
AF.06.2103,Gulistan__Gulistān
AF.06.2106,Khak-e Safed__Khāk-e Safēd
AF.06.2109,Lash-e Juwayn__Lāsh-e Juwayn
AF.06.2104,Pur Chaman__Pur Chaman
AF.06.2111,Pusht-e Rod__Pusht-e Rōd
AF.06.2108,Qal'ah-ye Kah__Qal‘ah-ye Kāh
